id,Probability of Default
1,0.025753155789475294
2,0.049889501234036605
3,0.03080710813350676
4,0.02358009192943024
5,0.08225013548560192
6,0.013286201490869787
7,0.04737699454527621
8,0.3141785714285714
9,0.011727457848052746
10,0.0
11,0.055
12,0.021366554989896272
13,0.02022455400693427
14,0.031202774726206906
15,0.011190895379075881
16,0.0441460612799459
17,0.03907134337263351
18,0.024009088742381973
19,0.026099342798470582
20,0.03907737612362439
21,0.13381746806566513
22,0.0
23,0.039101149822215124
24,0.0181466570421917
25,0.014348763422252407
26,0.04737699454527621
27,0.5127528860028862
28,0.18441161616161608
29,0.01838624678485461
30,0.0016666666666666666
31,0.029559708898230674
32,0.0
33,0.05384179251622559
34,0.0
35,0.0
36,0.09833333333333333
37,0.0408001707242837
38,0.13116283451072783
39,0.02044466033685858
40,0.021529101315068466
41,0.032789567842237265
42,0.033099611969315955
43,0.3161428571428571
44,0.012582470415688472
45,0.03636554355182485
46,0.030672691265199434
47,0.05063074962680579
48,0.0
49,0.0476558564983935
50,0.024491243551798738
51,0.01692918609540768
52,0.07610284576583054
53,0.0
54,0.05999591168247199
55,0.0
56,0.029259091618219064
57,0.02683181484629056
58,0.023782268395722162
59,0.011423702350174383
60,0.03849909093874958
61,0.036678071430988904
62,0.68
63,0.0
64,0.15033330558330552
65,0.006125079358787816
66,0.029642301339417126
67,0.054254855104905596
68,0.10274631594755432
69,0.01655844052386598
70,0.05063074962680579
71,0.022970555760029442
72,0.04698177496902601
73,0.0
74,0.02242490578443102
75,0.28278571428571425
76,0.05788095238095238
77,0.029716450216450217
78,0.035039301585270154
79,0.028257409770440663
80,0.03266567836575366
81,0.26017857142857137
82,0.015637276916377257
83,0.03058384702435117
84,0.07610284576583054
85,0.030168547519570373
86,0.16460797371622435
87,0.03
88,0.031202774726206906
89,0.83
90,0.02634936641204685
91,0.78
92,0.027237445701328307
93,0.07183777158551355
94,0.05613854540235296
95,0.0
96,0.02242490578443102
97,0.06372362234185001
98,0.09
99,0.07610284576583054
100,0.032844596912631786
101,0.024097091078001242
102,0.0
103,0.01659277795240746
104,0.017135434404763002
105,0.030533763922208464
106,0.012436908312992854
107,0.18560973234639916
108,0.14
109,0.2562142857142857
110,0.6233333333333334
111,0.0
112,0.029487162449499768
113,0.04105864342472918
114,0.034674015103604655
115,0.029259091618219064
116,0.025563919797693044
117,0.010268660395775963
118,0.0
119,0.09514368839959374
120,0.08862674818070115
121,0.0
122,0.04694869847698998
123,0.04858185690879267
124,0.005863336302186459
125,0.25818253968253957
126,0.666904761904762
127,0.011394978886252167
128,0.0
129,0.13716152430994694
130,0.011727457848052746
131,0.018651710863717773
132,0.005330011607074774
133,0.027124578987276205
134,0.06062825621380052
135,0.025658791268190644
136,0.006687785430816411
137,0.03933771946678919
138,0.03880190922429094
139,0.0
140,0.027237445701328307
141,0.038964614328906175
142,0.0
143,0.01747588196540351
144,0.0
145,0.016370590014480334
146,0.04372548672543843
147,0.014812401654881619
148,0.0
149,0.024491243551798738
150,0.27166666666666667
151,0.0
152,0.014967836435121576
153,0.008507067029269016
154,0.1222168261648911
155,0.0
156,0.050080949602601725
157,0.02974573905752606
158,0.02022455400693427
159,0.03244563019320821
160,0.016901637436966568
161,0.04105864342472918
162,0.19418442028715535
163,0.017535316993892654
164,0.01103239507219442
165,0.03742892192664946
166,0.03266567836575366
167,0.011661165356159938
168,0.0
169,0.018103023185664712
170,0.0
171,0.05538603014639711
172,0.024984359939356538
173,0.14733333333333334
174,0.008869636956333544
175,0.12187900090105969
176,0.032034371220655423
177,0.029184202929415974
178,0.012344346341614094
179,0.04188451319548923
180,0.03865287866191101
181,0.04383333333333333
182,0.03865287866191101
183,0.014103405762204814
184,0.021387913629737524
185,0.014058435276020355
186,0.030421072965750796
187,0.05807883408916705
188,0.006999999999999999
189,0.025044482362999557
190,0.029259091618219064
191,0.011423702350174383
192,0.017238643985426735
193,0.02771833561093723
194,0.07333090816991741
195,0.7566666666666666
196,0.7045238095238097
197,0.024491243551798738
198,0.025044482362999557
199,0.31
200,0.011784316908804805
201,0.08579527916653686
202,0.00598029284298805
203,0.75
204,0.014967836435121576
205,0.036678071430988904
206,0.255
207,0.017458069328952143
208,0.014812401654881619
209,0.1115
210,0.26377777777777767
211,0.6465000000000001
212,0.015063786662690561
213,0.01677792326966558
214,0.05035066445690551
215,0.1467857142857143
216,0.021387913629737524
217,0.03933771946678919
218,0.029642301339417126
219,0.03575553360129768
220,0.017135434404763002
221,0.0
222,0.09485225246980876
223,0.04105864342472918
224,0.07979537047919401
225,0.03907737612362439
226,0.017179119972799042
227,0.0
228,0.03643264666767563
229,0.0
230,0.05333058134360206
231,0.02044466033685858
232,0.03354111881705761
233,0.08095479439188148
234,0.04694869847698998
235,0.12133617461680114
236,0.020095012815515675
237,0.021496278348377033
238,0.026914832640217184
239,0.059218520424924384
240,0.04041627284066072
241,0.05106071745199294
242,0.11666666666666665
243,0.00795569191124955
244,0.015637276916377257
245,0.012436908312992854
246,0.0
247,0.09932766293426688
248,0.01987779134774678
249,0.0
250,0.028194597065003393
251,0.0372539389362232
252,0.0
253,0.047687189050873505
254,0.02974573905752606
255,0.14043462051386243
256,0.02431449989543276
257,0.03341935098007342
258,0.04695336214756382
259,0.12280063207184616
260,0.12220666167126314
261,0.01124920103833172
262,0.04236203589244326
263,0.025
264,0.04576886024254765
265,0.022405682148877757
266,0.20131343108976543
267,0.02070987834205558
268,0.031127982652620238
269,0.09695443534514395
270,0.05694444444444444
271,0.03200000000000001
272,0.02927148937085389
273,0.12133617461680114
274,0.00598029284298805
275,0.11028452103452102
276,0.03575553360129768
277,0.05999591168247199
278,0.023660686106472227
279,0.049889501234036605
280,0.014812401654881619
281,0.0
282,0.02022455400693427
283,0.04188451319548923
284,0.02000449132907973
285,0.017377206872304915
286,0.0350773750200388
287,0.07377484717489385
288,0.6185922026105092
289,0.0350773750200388
290,0.019617523104254568
291,0.011832549480358206
292,0.03328599556310079
293,0.026153778747122432
294,0.03907134337263351
295,0.3622142857142856
296,0.044821300879461255
297,0.017269865188104767
298,0.023892240567065924
299,0.03375105165783813
300,0.0335282854972623
301,0.02041674067362615
302,0.08616370228333052
303,0.0
304,0.1682139882820996
305,0.125027876656677
306,0.4493809523809524
307,0.038964614328906175
308,0.3948492063492063
309,0.20131343108976543
310,0.0
311,0.84
312,0.11045238095238095
313,0.035052944827271275
314,0.19088472598130682
315,0.015249429749569644
316,0.93
317,0.032545631901132153
318,0.014967836435121576
319,0.05035066445690551
320,0.0335282854972623
